CPF-Source-ID	Related-ID	CPF-Type	NameEntry	Date	Subject	Place	Occupation	Activity	BiogHist	Citation	Citation-URL	Citation-FoundData
25764.r001		person	Basie, Count							Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Basie, Count -- Photographs
25764.r002	n81150284	person	Hawkins, Coleman							Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Hawkins, Coleman -- Photographs
25764.r003	n50033023	person	Holiday, Billie, 1915-1959	1915^Birth#1959^Death						Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Holiday, Billie, 1915-1959
25764.r004	n82218969	person	Monk, Thelonious							Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Monk, Thelonious -- Photographs
25764.r005	n82153045	person	Mulligan, Gerry							Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Mulligan, Gerry -- Photographs
25764.r006	n82090923	person	Webster, Ben, 1909-1973	1909^Birth#1973^Death						Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Webster, Ben, 1909-1973 -- Photographs
25764.r007	n81023212	person	Young, Lester, 1909-1959	1909^Birth#1959^Death						Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	Young, Lester, 1909-1959 -- Photographs
25764.r008		corporateBody	CBS Television Network							Alvin Thaler Photographs of The Sound of Jazz, 1957 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/25764.xml	CBS Television Network
24888.c01	n50020999	person	Yeats, Jack B. (Jack Butler), 1871-1957	1871^Birth#1957^Death	Artists -- Ireland -- Correspondence		Artists#Collectors#Lawyers			Jack B. Yeats letter to John Quinn with mock patent of nobility, 1903 August 24 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24888.xml	Yeats, Jack B. (Jack Butler), 1871-1957
24888.r001		person	Anderson, Julia Quinn							Jack B. Yeats letter to John Quinn with mock patent of nobility, 1903 August 24 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24888.xml	Anderson, Julia Quinn
24888.r002	n50050562	person	Quinn, John, 1870-1924	1870^Birth#1924^Death						Jack B. Yeats letter to John Quinn with mock patent of nobility, 1903 August 24 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24888.xml	Quinn, John, 1870-1924
24877.c01		person	Zerman, Andrew		Acting Auditions#Photographs#Rásumás (Employment)#Theater Casting		Casting directors		<biogHist><p>Andrew "Andy" Zerman (1956-2019) was a casting director at Johnson-Liff and Zerman and a long-time volunteer at the New York Public Library for the Performing Arts. Early in his career, Zerman was a casting director for the Manhattan Theatre Club. Other casting positions would follow with many Broadway and Off-Broadway productions, most notably the original Broadway hits Cats, Les Misérables and The Phantom of the Opera. Outside of New York theater, Zerman would develop a working relationship with the Yale Repertory Theatre, casting many of their productions. He also travelled extensively around the United States to evaluate senior performing arts classes at universities. Zerman occasionally worked as a casting director for television and cinematic productions, notably Little Gloria...Happy at Last, and Sister Act.</p><title>Cats</title><title>Les Misérables</title><title>The Phantom of the Opera.</title><title>Little Gloria...Happy at Last</title><title>Sister Act</title><p>Zerman died in New York City in 2019.</p><p>Johnson-Liff Associates was a casting agency established in 1975 by casting director and former stage manager Geoffrey Johnson and Vincent Liff. From its inception, Johnson-Liff was employed by high profile Broadway productions, such as hit musicals like The Wiz (1975), Ain't Misbehavin' (1978) and Dreamgirls (1981) as well as prestigious plays, including Tom Stoppard's Night and Day (1979) and Peter Schaffer's Amadeus (1980).</p><title>The Wiz</title><title>Ain't Misbehavin'</title><title>Dreamgirls</title><title>Night and Day</title><title>Amadeus</title></biogHist>	Johnson-Liff Casting Associates Ltd. records, 1978-2006 (The New York Public Library. Billy Rose Theatre Division.)	http://archives.nypl.org/the/24877.xml	Zerman, Andrew
24877.r001		corporateBody	Johnson-Liff Associates							Johnson-Liff Casting Associates Ltd. records, 1978-2006 (The New York Public Library. Billy Rose Theatre Division.)	http://archives.nypl.org/the/24877.xml	Johnson-Liff Associates
24862.c01	nr96003992	person	Wilson, William, 1756-1828	1756^Birth#1828^Death	Agriculture -- New York (State) -- Columbia County#Real property -- New York (State) -- Columbia County#Real property -- New York (State) -- Dutchess County	Clermont (N.Y. : Town)#Livingston Manor (N.Y. : Estate)#New York (State)	Jurists.#Land agents.#Landowners.#Naval officers.#Physicians.#Politicians.#Postmasters.#Surveyors.		<biogHist><p>William Wilson (1756-1828) of Clermont, Columbia County, New York, William Wilson (1756-1828) of Clermont, Columbia County, New York, was a physician, postmaster, and judge, and an estate manager for the Livingston family at Clermont. He was the first postmaster of the Town of Clermont, serving variously as a justice of the peace, town supervisor and school supervisor, and a Columbia County judge for the New York State Court of Common Pleas. Wilson was also a founder of professional societies in the fields of medicine and agriculture for Columbia and Dutchess Counties.</p><p>Born in Wooler, Northumberland, England, William Wilson was the son of Reverend Alexander Wilson, minister of the community's Scots (Presbyterian) Church. He graduated from the University of Glasgow in 1775, and succeeded his father as minister in 1778, but soon left the church to study medicine. Upon completion of his studies, he emigrated to New York in 1784, leaving his wife Mary Howey Wilson (1753-1801) and son Alexander (1783-1805) to follow him later. Upon arrival he went directly to Clermont in Columbia County and began the practice of medicine there, implying a connection with the Livingston family. Not long after, he became the estate manager for statesman Robert R. Livingston (1746-1813), known as "the Chancellor," who held Clermont, the "Lower Manor" of the Livingston family. Wilson became a trusted friend and an executor of his legal estate. Wilson knew other members of the Livingston family and acted on their behalf as well, including Edward P. Livingston, who became the proprietor of Clermont upon the death of Robert R. Livingston, his father-in-law, and General Henry Livingston, son of Robert Livingston Jr. (1708-1790).</p><p>William and Mary Wilson's American-born children were sons William H. (William Henry) Wilson (1791-1884), Robert L. (Robert Livingston) Wilson (1794-1830), and U.S. naval captain Stephen B. (Stephen Bayard) Wilson (1795-1863). Their daughters were Frances ("Fanny") Wilson (1787-1879), who married Fyler Dibblee; Elizabeth ("Eliza") Wilson (1797-1879) who married Fyler's brother Richard Dibblee; Mary Ann Wilson (1792-1887), who married George A. Shufeldt; and Alicia Ann ("Nancy" or Ann) Wilson (1799-1888), who married David Van Deusen. After Mary Howey Wilson's death in 1801, William Wilson married Hannah Shufeldt (1784-1876).</p><p>Alexander and Robert both attended Union College and became lawyers, but died at relatively young ages. Robert's law practice in New York City included acting on his father's behalf in local professional and personal legal matters. William H. Wilson studied medicine and served as a surgeon's mate during the War of 1812, but returned to Clermont to help his father in his business and civic affairs. He succeeded his father as postmaster of Clermont in the 1820s, and also sat as a judge for Columbia County in the Court of Common Pleas. Among other civic activities he was a founding trustee of the Claremont Academy, incorporated in 1834. He married Anne Hulme of Philadelphia in 1829 and had two surviving children, Elizabeth Hulme Wilson (1829-1904) and Harold Wilson (1836-1919).</p><p>Robert Livingston Jr. (1708-1790) was the "Third Lord" or proprietor of Livingston Manor in Columbia County, also known as the Upper Manor. The Upper Manor was bordered on the north by the towns of Claverack and Hillsdale, on the west by the Hudson River, north of Clermont and Germantown, and on the east by the border with Massachusetts. Since his son Peter R. Livingston was deeply in debt, he bequeathed the bulk of his land to sons Walter (1733-1797), Robert C. (1742-1794), Henry (1752/3-1823), and John (1750-1822), each receiving one of four "Great Lots," numbered 1-4, respectively. The lots ran east-west through the central and eastern portions of the Upper Manor, with No. 1 bordering Claverack and Hillsdale to the north, and No. 4 bordering Dutchess County to the south. In 1788 the Upper Manor became the Town of Livingston, with the Lower Manor becoming the Town of Claremont.</p><p>The deaths of Robert Livingston Jr. and his sons Walter and Robert in the 1790s had repercussions on Livingston tenant lease-holders and others, especially throughout the great lots. Measures to secure the settlement of the Livingstons' personal estates and their title to land under the 1686 Dongan charter included the surveying of the great lots for farms, collection of back rents from tenants long in arrears and ejections for non-payment of rent, the removal of squatters who cleared farm lands from wood lots, and related legal actions. As a Livingston agent, Wilson was involved in such measures, and assisted in the management of Great Lot No. 2 with Peter Van Schaack. For most of the 1790s he served as a justice of the peace for Clermont.</p><p>Tenants used legal and illegal means to contest the feudal system of landholding. An increasing show of violence came to a head in the mid-1790s, as judicial and legislative interests upheld the Livingstons' titles with strict enforcement of the law. In 1803, Democratic-Republicans in state government succeeded in breaking the Town of Livingston into three townships. Livingston now anchored the area on the Hudson, while the great lots were incorporated into the townships of Granger and Gallatin, later recovering their traditional names of Taghanick and Ancram in 1814 before further subdivision. Robert R. Livingston, aligned with the Democratic-Republican party during the 1790s, switched his allegiance to the Federalists in 1806, not long after his tenure as U.S. Minister to France.</p><p>Although there was further tenant anti-rent unrest, notably in 1811 and the 1840s, the manorial system was already in decline by the time of Wilson's death on December 20, 1828. The transition in landholding patterns was marked by the gradual sale of land by Livingston descendants, and the building of a local civic structure within the context of state and national events.</p><p>Sources:</p><p>Brooke, John L. Columbia Rising: Civil Life on the Upper Hudson from the Revolution to the Age of Jackson. Chapel Hill: University of North Carolina Press, 2010.</p><title>Columbia Rising: Civil Life on the Upper Hudson from the Revolution to the Age of Jackson</title><p>King, Roger. Finding aid for the Wilson Family Papers, 1704-1884, University of Michigan, William L. Clements Library, Manuscripts Division.</p><p>Livingston, James D. and Sherry H. Penney, "The Breakup of Livingston Manor." In The Livingston Legacy: Three Centuries of American History, edited by Richard C. Wiles and Andrea K. Zimmermann, 406-426. Annandale-on-Hudson, N.Y.: Bard College Office of Publications, 1987.</p><title>The Livingston Legacy: Three Centuries of American History</title><p>Wigram, John. A map of the towns of Livingston, Germantown, and Clermont in the County of Columbia: compiled from actual surveys in January 1798. Albany: Secretary of State, 1850. Lionel Pincus and Princess Firyal Map Division, The New York Public Library. http://digitalcollections.nypl.org/items/53c21dc0-cdb9-0133-feb8-00505686a51c</p><title>A map of the towns of Livingston, Germantown, and Clermont in the County of Columbia: compiled from actual surveys in January 1798</title></biogHist>	William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wilson, William, 1756-1828
24862.r001	n86071910	person	Livingston, Edward P. (Edward Philip), 1779-1843	1779^Birth#1843^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Livingston, Edward P. (Edward Philip), 1779-1843
24862.r002	nr2003038309	person	Livingston, Henry, 1752-1823	1752^Birth#1823^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Livingston, Henry, 1752-1823
24862.r003	n85367562	person	Livingston, Robert R., 1746-1813	1746^Birth#1813^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Livingston, Robert R., 1746-1813
24862.r004	n2010040948	person	Thompson, Alexander (Surveyor)							William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Thompson, Alexander (Surveyor)
24862.r005	n89622997	person	Varick, Richard, 1753-1831	1753^Birth#1831^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Varick, Richard, 1753-1831
24862.r006	n2014021350	person	Wigram, John							William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wigram, John
24862.r007		person	Wilson, Robert L., 1794-1830	1794^Birth#1830^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wilson, Robert L., 1794-1830
24862.r008	n2015011847	person	Wilson, Stephen Bayard, 1795-1863	1795^Birth#1863^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wilson, Stephen Bayard, 1795-1863
24862.r009		person	Wilson, William H., 1791-1884	1791^Birth#1884^Death						William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wilson, William H., 1791-1884
24862.r010		family	Livingston family							William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Livingston family
24862.r011		family	Wilson family							William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	Wilson family -- Correspondence
24862.r012		corporateBody	United States. Navy							William Wilson family papers, 1792-1884 (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/24862.xml	United States. Navy -- Officers
24876.c01		person	Dolan, Michael J., 1884-1954	1884^Birth#1954^Death			Actors#Actresses#Authors#Dramatists#Theatrical managers			Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	Dolan, Michael J., 1884-1954
24876.r001	n80056886	person	Gregory, Lady, 1852-1932	1852^Birth#1932^Death						Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	Gregory, Lady, 1852-1932
24876.r002	no2003125617	person	Holloway, Joseph							Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	Holloway, Joseph
24876.r003	n86035204	person	O'Donnell, Frank J. Hugh							Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	O'Donnell, Frank J. Hugh
24876.r004	n88226428	person	Shiels, George, 1886-1949	1886^Birth#1949^Death						Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	Shiels, George, 1886-1949
24876.r005		corporateBody	Abbey Theatre							Michael J. Dolan papers regarding the Abbey Theatre, 1923-1940 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24876.xml	Abbey Theatre
29942.c01	no2009033678	person	Jeannette, Gertrude, 1914-	1914^Birth	Actresses, Black#African American theater#Authors, Black#Black author#Dramatist#Theater -- Production and direction#Women in the theater -- United States				<biogHist><p>Gertrude Hadley Jeannette was an actor, playwright, director, and producer. Additionally, she is believed to be the first woman to get a taxi license and drive a cab in New York City.</p><p>Born Gertrude Hadley on November 28, 1914, in Urbana, Arkansas, Jeannette met her future husband, Joe Jeannette, a heavyweight boxer 35 years her senior, on prom night. In 1933, they eloped and moved to New York, where she began working as a taxi driver. She also enrolled in shorthand classes at the Abyssinian Baptist Church, where she met Frederick O'Neal, one of the founders of the American Negro Theater. Upon his recommendation, she enrolled in a speech class, held at the Theater, to correct a childhood stammer. Acting was part of the speech therapy curriculum. Since Jeannette had to learn the map of New York City in order to drive a taxi, she realized that she only had to read a script once or twice to know her lines. The American Negro Theater required its students to audition and Jeannette soon became known for her stage presence. She acted alongside such notable figures as Ossie Davis, Ruby Dee, and Sidney Poitier. She was cast in her first Broadway production, Lost in the Stars, in 1948. She would subsequently act in other Broadway productions, including The Long Dream (1960), The Amen Corner (1965), and Vieux Carré (1977), among others. She also found roles in film, including Cotton Comes to Harlem (1970) and Shaft (1971).</p><title>Lost in the Stars</title><title>The Long Dream</title><title>The Amen Corner</title><title>Vieux Carré</title><title>Cotton Comes to Harlem</title><title>Shaft</title><p>In response to what she saw as a lack of authentic black characters in the theater, Jeannette began writing plays in 1950; she wrote five plays altogether including The Way Forward (1948-1950); A Bolt from the Blue (1950); Light in the Cellar (1960), a sequel to This Way Forward; Who's Mama's Baby, Who's Daddy's Child (1985); and Gladys' Dilemma (1990). Also around 1950, during the time of the Second Red Scare, the American Negro Theater closed and Jeannette was barred from working because of her association with Paul Robeson, a singer, actor, and political activist (Jeannette's husband was a bodyguard of sorts for Robeson). Instead of heading to Hollywood like many of her acting peers, she took over a space at the Elks Building, calling it the Elks Community Theater. In 1979, she founded another theater company that would be known as the HADLEY (Harlem Artist's Development League Especially for You) Players. In addition to directing many of the Players productions and overseeing its operations, she transformed her two plays, This Way Forward and Light in the Cellar, into a novel, The Secret in the Cellar, which was published in 2006.</p><title>The Way Forward</title><title>A Bolt from the Blue</title><title>Light in the Cellar</title><title>This Way Forward</title><title>Who's Mama's Baby, Who's Daddy's Child</title><title>Gladys' Dilemma</title><title>This Way Forward</title><title>Light in the Cellar</title><title>The Secret in the Cellar</title><p>Jeannette received numerous awards and accolades during her lifetime including the Paul Robeson Award from Actors' Equity. She continued to act into her 80s and retired from directing at 98. She died at age 103 in April 2018.</p></biogHist>	Gertrude Hadley Jeannette papers, 1948-2016 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29942.xml	Jeannette, Gertrude, 1914-
29942.r001	n82059429	person	Davis, Ossie							Gertrude Hadley Jeannette papers, 1948-2016 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29942.xml	Davis, Ossie
29942.r002	n82154795	person	Dee, Ruby							Gertrude Hadley Jeannette papers, 1948-2016 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29942.xml	Dee, Ruby
29942.r003	n85273946	person	O'Neal, Frederick, 1905-1992	1905^Birth#1992^Death						Gertrude Hadley Jeannette papers, 1948-2016 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29942.xml	O'Neal, Frederick, 1905-1992
29942.r004		corporateBody	American Negro Theatre							Gertrude Hadley Jeannette papers, 1948-2016 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29942.xml	American Negro Theatre
25822.c01	n50008701	person	Targ, William, 1907-	1907^Birth	Authors and publishers -- United States -- Correspondence#Authors, American -- 20th century -- Correspondence#Jewish families -- New York (State) -- New York -- Fiction#Jews -- New York (State) -- New York -- Fiction	Harlem (New York, N.Y.)	Authors.#Editors.#Literary agents.			William Targ papers concerning Henry Roth, 1971-1983 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25822.xml	Targ, William, 1907-
25822.r001	n81117457	person	Roth, Henry							William Targ papers concerning Henry Roth, 1971-1983 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25822.xml	Roth, Henry
25822.r002		person	Targ, Roslyn							William Targ papers concerning Henry Roth, 1971-1983 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25822.xml	Targ, Roslyn
28385.c01	n79041870	person	Woolf, Virginia, 1882-1941	1882^Birth#1941^Death	Authors and publishers#Authors, English -- 20th century -- Correspondence#Periodical editors -- United States -- 20th century -- Correspondence		Authors#Editors#Publishers			Virginia Woolf letter to Ellery Sedgwick, 1927 September 20 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28385.xml	Woolf, Virginia, 1882-1941
28385.r001	n88222555	person	Sedgwick, Ellery, 1872-1960	1872^Birth#1960^Death						Virginia Woolf letter to Ellery Sedgwick, 1927 September 20 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28385.xml	Sedgwick, Ellery, 1872-1960
28384.c01	n79056824	person	Joyce, James, 1882-1941	1882^Birth#1941^Death	Authors, Irish -- 20th century		Authors			Letters from James Joyce and George Joyce to Richard Wallace, 19221926  (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28384.xml	Joyce, James, 1882-1941
28384.r001		person	Joyce, George, 1905-1976	1905^Birth#1976^Death						Letters from James Joyce and George Joyce to Richard Wallace, 19221926  (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28384.xml	Joyce, George, 1905-1976
28384.r002	no2019147723	person	Wallace, Richard, 1872-1927	1872^Birth#1927^Death						Letters from James Joyce and George Joyce to Richard Wallace, 19221926  (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28384.xml	Wallace, Richard, 1872-1927
29932.c01	no2011039433	person	Collins, Kathleen, 1942-1988	1942^Birth#1988^Death	Actresses, Black#Authors, Black#Motion picture plays#Playwriting				<biogHist><p>Seret Scott is an actress and director, known for her starring role in Kathleen Collins's 1982 film, Losing Ground. She frequently collaborated with Collins, including in the 1982 production of The Brothers at the American Place Theater. She won a 1974 Drama Desk Award for Oustanding Performance for My Sister, My Sister.</p><title>Losing Ground</title><title>The Brothers</title><title>My Sister, My Sister</title><p>Kathleen Collins (1941-1988) was a playwright, filmmaker, director, novelist, short story writer, and professor of film history and production. Collins was the first African American woman to write, direct, and produce a full-length feature film (The Cruz Brothers and Miss Malloy, 1980, which was based on a Henry Roth novel). Her second feature film, Losing Ground (1982), which she directed and coproduced, was based on her original screenplay; it received international acclaim. Also a playwright, her 1982 play, The Brothers, was named one of the twelve outstanding plays of the season by the Theatre Communications Group. In 1982 and 1983, she was a finalist for the Susan Blackburn International Prize for Playwriting. Although only a small amount of her work was published before her death in 1988, she wrote six playscripts, over fifteen short stories, and five screenplays. Some of this material was published in two posthumous publications, her short story collection, Whatever Happened to Interracial Love? (2016), and Notes from a Black Woman's Diary: Selected Works of Kathleen Collins (2019).</p><title>The Cruz Brothers and Miss Malloy</title><title>Losing Ground</title><title>The Brothers</title><title>Whatever Happened to Interracial Love?</title><title>Notes from a Black Woman's Diary: Selected Works of Kathleen Collins</title></biogHist>	Kathleen Collins Scripts collection, 1971-1992 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29932.xml	Collins, Kathleen, 1942-1988
29932.r001	n88226068	person	Scott, Seret							Kathleen Collins Scripts collection, 1971-1992 (The New York Public Library. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division.)	http://archives.nypl.org/scm/29932.xml	Scott, Seret
29926.c01	n80056886	person	Gregory, Lady, 1852-1932	1852^Birth#1932^Death	Authors, Irish		Authors			Lady Gregory letter to Grace Plunkett, 1929 December 30 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/29926.xml	Gregory, Lady, 1852-1932
29926.r001	n99046152	person	Plunkett, Grace Gifford, 1888-1955	1888^Birth#1955^Death						Lady Gregory letter to Grace Plunkett, 1929 December 30 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/29926.xml	Plunkett, Grace Gifford, 1888-1955
28386.c01	n78093573	person	Levine, Philip, 1928-2015	1928^Birth#2015^Death	Poets, American -- 20th century -- Correspondence#Poets, American -- 21st century -- Correspondence		Poets			Philip Levine correspondence with Rick Campbell, 2000-2015 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28386.xml	Levine, Philip, 1928-2015
28386.r001	n2019024823	person	Campbell, Rick, 1952-	1952^Birth						Philip Levine correspondence with Rick Campbell, 2000-2015 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/28386.xml	Campbell, Rick, 1952-
24580.c01	n95029862	person	Feldman, Anita, 1951-	1951^Birth	Choreographers -- United States#Modern dance#Performance art#Tap dancers#Women choreographers -- United States -- 20th century		Teachers.		<biogHist><p>Anita Feldman is a Modern dancer and choreographer best known for her experimental work in Tap and close collaborations with composers. A practicing dancer since childhood, who was trained in music and percussion, Feldman uses the sound of tap dancing as a musical element within her works. In the mid-1980s she co-invented and patented the Tap Dance Instrument (TDI), a wood and brass multi-timbre floor platform, which is featured in many of her pieces. With her dance company, Anita Feldman Tap, she has performed in over 100 venues, ranging from academic settings to theaters in New York City, around the United States, and in Japan and Germany. Festivals in which she has performed include the Colorado Dance Festival, the Boston Dance Umbrella, and the American Dance Festival. Her collaborators include Lois V. Vierk, Guy Klucevsek, David Bierman, Toby Twining, Larry Polansky, Rhonda Price, Gary Schall, and James Tenney. In the 1980s, Feldman adapted composer Steve Reich's Clapping Music for Tap, performing it as Tapping Music. She is currently (2018) a full-time dance professor at Hofstra University.</p><title>Clapping Music</title><title>Tapping Music</title></biogHist>	Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Feldman, Anita, 1951-
24580.r001	nr90005645	person	Behrman, David							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Behrman, David
24580.r002	n97869540	person	Bufalino, Brenda							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Bufalino, Brenda
24580.r003	n97858213	person	Dunn, Robert Ellis							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Dunn, Robert Ellis
24580.r004	n80158333	person	Klucevsek, Guy							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Klucevsek, Guy
24580.r005	n97847884	person	Loewen, Debra							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Loewen, Debra
24580.r006	n97842150	person	Nelson, Jalalu Kalvert							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Nelson, Jalalu Kalvert
24580.r007	n93054845	person	Pickett, Lenny							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Pickett, Lenny
24580.r008	n88635233	person	Polansky, Larry, 1954-	1954^Birth						Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Polansky, Larry, 1954-
24580.r009	n81022275	person	Reich, Steve, 1936-	1936^Birth						Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Reich, Steve, 1936-
24580.r010	n97842555	person	Rodiger, Ann							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Rodiger, Ann
24580.r011	nr91004508	person	Schall, Gary							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Schall, Gary
24580.r012	n84148369	person	Tenney, James							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Tenney, James
24580.r013	n97849931	person	Twining, Toby							Anita Feldman Tap collection, 1961-2017 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24580.xml	Twining, Toby
